id,question,result
1,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：婴儿（人群）可以用于修饰或可以联想到___（动作）
*选项*：['听歌', '画画', '学习', '阅读']",学习
2,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：学生党（人群）可以用于修饰或可以联想到___（动作）
*选项*：['面试', '逛街', '熬夜', '租房']",熬夜
3,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：宝贝（人群）可以用于修饰或可以联想到___（动作）
*选项*：['旅游', '喝茶', '午睡', '读书']",午睡
4,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：商人（人群）属于或类似于___（人群）
*选项*：['知识分子', '经纪人', '公务员', '人类']",人类
5,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：女工（人群）属于或类似于___（人群）
*选项*：['女主', '女官', '女史', '女兵']",女官
6,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：好友（人群）属于或类似于___（人群）
*选项*：['父亲', '矮个子', '长辈', '亲戚']",矮个子
7,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：学童（人群）属于或类似于___（人群）
*选项*：['青少年学生', '大学新生', '高中学生', '孩提']",孩提
8,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：小学生（人群）属于或类似于___（人群）
*选项*：['小青年', '小宝贝', '初三孩子', '初一孩子']",小宝贝
9,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：小孩子（人群）属于或类似于___（人群）
*选项*：['婴幼儿童', '初中生', '孕妇', '中老年人']",婴幼儿童
10,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：小朋友（人群）属于或类似于___（人群）
*选项*：['上班族', '吃货', '青年', '大学生']",吃货
11,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：小童（人群）属于或类似于___（人群）
*选项*：['中童', '小儿', '大儿童', '中大儿童']",小儿
12,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：新生婴儿（人群）属于或类似于___（人群）
*选项*：['婴', '成人', '医生', '中童']",婴
13,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：美娃（人群）属于或类似于___（人群）
*选项*：['懒汉', '胖娃', '穷光蛋', '果粉']",胖娃
14,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：老年人（人群）属于或类似于___（人群）
*选项*：['壮年人', '宝妈', '幼童', '老']",老
15,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：胖仔（人群）属于或类似于___（人群）
*选项*：['胖妹', '胖子', '大娘', '美娃']",胖子
16,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：辣妈（人群）属于或类似于___（人群）
*选项*：['父母', '奶爸', '潮宝宝', '狗妈']",父母
17,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：部下（人群）属于或类似于___（人群）
*选项*：['邻里', '对手', '全民', '同伙']",全民
18,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：闺蜜（人群）属于或类似于___（人群）
*选项*：['柜姐', '暖妈', '女编', '组员']",柜姐
19,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：高个子（人群）属于或类似于___（人群）
*选项*：['高祖母', '少年', '软妹子', '胖宝宝']",少年
20,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：高中生（人群）属于或类似于___（人群）
*选项*：['中大小童', '学龄儿童', '婴幼儿', '胖孩子']",胖孩子
21,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：儿童（人群）需要___（功能）
*选项*：['修身显瘦', '显腿长', '嫩肤', '晾晒']",显腿长
22,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：婴儿（人群）需要___（功能）
*选项*：['节能', '养生', '储奶', '助眠']",储奶
23,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：儿童（人群）需要___（品类）
*选项*：['牙刷架', '化妆品架', '自行车货架', '浴室三角架']",牙刷架
24,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：小学生（人群）需要___（品类）
*选项*：['篮球', '电动自行车', '披肩', '宠物背包']",篮球
25,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：幼儿园（人群）需要___（品类）
*选项*：['手机支架', '方向盘', '防丢器', '握力器']",防丢器
26,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：情侣（人群）需要___（品类）
*选项*：['儿童座椅', '头纱', '大富翁', '门把手']",头纱
