id,question
1,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：婴儿（人群）可以用于修饰或可以联想到___（动作）
#答案#
学习
#候选#
['阅读', '旅游', '听歌', '旅行', '画画', '雕刻', '绘画', '跑步', '洗衣服', '做饭', '散步', '运动', '办公', '骑行', '出游']"
2,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：学生党（人群）可以用于修饰或可以联想到___（动作）
#答案#
熬夜
#候选#
['出差', '逛街', '度假', '化妆', '旅游', '约会', '租房', '旅行', '洗衣服', '拍照', '办公', '自拍', '娱乐', '面试']"
3,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：宝贝（人群）可以用于修饰或可以联想到___（动作）
#答案#
午睡
#候选#
['裸睡', '夜行', '吃饭', '喝茶', '沐浴', '煮饭', '宴会', '散步', '旅游', '做饭', '聚会', '出差', '按摩', '旅行', '读书']"
4,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：商人（人群）属于或类似于___（人群）
#答案#
人类
#候选#
['穷人', '工人', '军人', '僧人', '死人', '士人', '兵员', '铸造工', '程序员', '经纪人', '列兵', '会计', '知识分子', '研究生', '公务员']"
5,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：女工（人群）属于或类似于___（人群）
#答案#
女官
#候选#
['女兵', '女警察', '女将', '女史', '女主', '女宝', '女娃儿', '监工', '女婿', '男子汉', '员外', '男女生', '上司', '小女生', '艺术生']"
6,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：好友（人群）属于或类似于___（人群）
#答案#
矮个子
#候选#
['小孩子', '新生', '小男孩', '长辈', '孩子', '婴幼儿', '小朋友', '新生儿', '亲戚', '骚友', '小学生', '儿子', '婴儿', '小孩', '父亲']"
7,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：学童（人群）属于或类似于___（人群）
#答案#
孩提
#候选#
['婴童', '生', '蛮童', '中青年', '初二孩子', '新生儿', '青少年学生', '高三', '学霸', '新生婴儿', '高中学生', '学士', '中老年', '女士', '大学新生']"
8,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：小学生（人群）属于或类似于___（人群）
#答案#
小宝贝
#候选#
['小婴儿', '婴儿们', '小青年', '婴儿', '孕婴', '婴幼儿', '二宝', '婴幼儿童', '初生儿', '新生宝宝', '幼师', '宝妈', '妈咪', '初一孩子', '初三孩子']"
9,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：小孩子（人群）属于或类似于___（人群）
#答案#
婴幼儿童
#候选#
['孕婴', '中年妈妈', '中老年人', '孕产妇', '孕妇', '初中生', '高三孩子', '中老年', '中年人', '幼师', '父母', '爸爸妈妈', '产妇', '爸妈', '孕妈']"
10,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：小朋友（人群）属于或类似于___（人群）
#答案#
吃货
#候选#
['厨师', '懒人', '大学生', '发烧友', '上班族', '妈咪', '宝妈', '老人', '情侣', '爸妈', '孕妈', '老婆', '老年人', '长辈', '青年']"
