id,text,category
0,激爽橘玫香型,neg
1,青苹果,neg
2,亲戚,neg
3,老婆婆,neg
4,出溜,neg
5,酱紫粉色,neg
6,漆黑色,neg
7,殷红色,neg
8,博古架,neg
9,旅游桌,neg
10,豆腐,neg
11,韩范,neg
12,冰丝坐垫,neg
13,护理,neg
14,水彩笔,neg
15,柔润肌肤,neg
16,碟,neg
17,木鱼石杯,neg
18,东北松子,neg
19,万能,neg
20,丝缎,neg
21,防滑毯,neg
22,控水,neg
23,水壶,neg
24,羽绒裤,neg
25,家居裤,neg
26,红枣味,neg
27,白酒醋,neg
28,镇静催眠,neg
29,查考,neg
30,跆拳道背包,neg
31,提神醒脑,neg
32,去油,neg
33,工业级,neg
34,沙画,neg
35,松花绿,neg
36,孕妇内裤,neg
37,连体衣,neg
38,挡风被,neg
39,熏炉,neg
40,身体皂,neg
41,甜杏色,neg
42,冬天,neg
43,撞色风,neg
44,彩纸,neg
45,大檐遮阳帽,neg
46,检视,neg
47,皮,neg
48,黑绿,neg
49,俏皮粉,neg
50,楼梯,neg
51,四合一,neg
52,女王风,neg
53,三层无纺布,neg
54,涤纶纤维,neg
55,宽松直筒,neg
56,咖灰,neg
57,儿童,neg
58,复古黑色,neg
59,棉麻衫,neg
60,去湿,neg
61,防压,neg
62,高冷,neg
63,精致风,neg
64,白领,neg
65,网红范,neg
66,宝石蓝,neg
67,曲薯,neg
68,香芋蓝色,neg
69,香料,neg
70,刀具,neg
71,太空灰,neg
72,其他面料,neg
73,男三角裤,neg
74,遮肩膀,neg
75,餐厅灯,neg
76,墙角桌,neg
77,放大视觉,neg
78,儿童鞋,neg
79,淡麻灰色,neg
80,中跟单鞋,neg
81,特警裤,neg
82,藤编,neg
83,细网纱,neg
84,遮掉,neg
85,奶味,neg
86,亮肤保湿,neg
87,雷锋帽,neg
88,红褐色,neg
89,帽领,neg
90,实红,neg
91,香云纱,neg
92,懒人,neg
93,充气床,neg
94,舒适度,neg
95,查查,neg
96,犯案,neg
97,纸,neg
98,公路车,neg
99,布贴,neg
100,真皮袖,neg
101,清爽绿,neg
102,至尊银,neg
103,祛痘印,neg
104,炫酷灰色,neg
105,老陈酒,neg
106,中年妈妈,neg
107,莨绸,neg
108,白银,neg
109,橡粉,neg
110,迷彩服,neg
111,资料册,neg
112,布帘,neg
113,铁灰色,neg
114,烟粉色,neg
115,条纹裙,neg
116,竹炭棉,neg
117,珊瑚蓝色,neg
118,体己,neg
119,浅藏青色,neg
120,体操服,neg
121,北欧蓝,neg
122,春粉,neg
123,洛可可范,neg
124,装饰点缀,neg
125,中大儿童,neg
126,切刀,neg
127,清爽白色,neg
128,办公架,neg
129,抗衰老,neg
130,后备箱垫,neg
131,金紫色,neg
132,赤橙,neg
133,原宿,neg
134,露背睡裙,neg
135,小刀,neg
136,BOY范,neg
137,天猫精灵,neg
138,碰击布,neg
139,豆皮,neg
140,煮饺子,neg
141,酿酒,neg
142,暗棕色,neg
143,包臀裙,neg
144,鸳鸯鞋,neg
145,止汗,neg
146,全红,neg
147,睡枕,neg
148,抓毛布,neg
149,平滑,neg
150,绿茶糖,neg
151,可伸缩,neg
152,赭红,neg
153,蛋黄酱,neg
154,遮盖痘痘,neg
155,果酱红,neg
156,除胶刀,neg
157,街头时尚范,neg
158,虾红,neg
159,趣味,neg
160,拼皮袖,neg
161,儿童碗,neg
162,米金色,neg
163,玩偶,neg
164,水床,neg
165,润滑剂,neg
166,矿泉水,neg
167,时髦收腰,neg
168,大娘,neg
169,学爬,neg
170,卡通粉,neg
171,电机,neg
172,减震,neg
173,竹篮,neg
174,元宝蓝色,neg
175,深玫红,neg
176,透气街拍,neg
177,新酒红,neg
178,防侧翻,neg
179,代餐减肥,neg
180,彰显优雅,neg
181,修饰眼袋,neg
182,水湖蓝色,neg
183,靛紫色,neg
184,防磨,neg
185,全粉色,neg
186,塔扇,neg
187,产褥裤,neg
188,珍珠扣,neg
189,一字,neg
190,力抓,neg
191,灯珠,neg
192,炖羊肉,neg
193,乌梅,neg
194,台球,neg
195,药柜,neg
196,组合架,neg
